method,n_conformers,model,n_params,subset,n_molecules,adj_r2,rmsd,mad,max_dev,cv_rmsd,time_sec,hardware
gXTB,5.0,neighbour,22,cawkwell,102,0.9917759690255834,3.5022644040187707,2.473237308011296,15.6277176174568,18665.299470463586,15.433056592941284,CPU
UMA,1.0,4param,4,all,310,0.9928440568820545,3.118091581165046,2.240394041257591,12.043224153766644,3.253271369268638,12.964751243591309,GPU
UMA,1.0,7param,7,all,310,0.9942785885278194,2.774345661921294,1.8878534928957253,11.09656656875741,2.9580654778425566,12.964751243591309,GPU
UMA,1.0,hybrid,9,all,310,0.9942132777242092,2.780881316573616,1.8544102513642813,11.646432451852597,2.9678722929875225,12.964751243591309,GPU
UMA,1.0,bondorder,9,all,310,0.9945617965690409,2.6958384251988683,1.8082275609716982,11.18814332179609,2.8709333687348204,12.964751243591309,GPU
UMA,1.0,bondorder_ext,15,all,310,0.9953128305439797,2.4776188686374656,1.7314881225145824,9.517239372099285,2.679985728504794,12.964751243591309,GPU
UMA,1.0,bondorder_ar,12,all,310,0.9945163099628,2.693519853739371,1.7975215758519059,11.034230483742434,2.9099939664061027,12.964751243591309,GPU
UMA,1.0,extended,14,all,310,0.9947553077406212,2.625285381648248,1.797247347571713,11.532541072540923,2.875591769468514,12.964751243591309,GPU
UMA,1.0,neighbour,22,all,310,0.9951401787548837,2.4926230291307236,1.7113339583255083,10.651070163381519,10600.393654305406,12.964751243591309,GPU
UMA,1.0,4param,4,cawkwell,102,0.9916475641843768,3.9109787515145005,3.0761542485607563,11.484908688347787,4.107700722261216,12.964751243591309,GPU
UMA,1.0,7param,7,cawkwell,102,0.9943699774409936,3.1609091243091094,2.288582633094965,10.440436947776469,3.4977062746586984,12.964751243591309,GPU
UMA,1.0,hybrid,9,cawkwell,102,0.9941824451180645,3.178755861402274,2.32971393920816,9.964707964980043,3.4984056154932532,12.964751243591309,GPU
UMA,1.0,bondorder,9,cawkwell,102,0.9949876289716917,2.9505877499734137,2.0743978116657287,9.779019980290904,3.3146247052814624,12.964751243591309,GPU
UMA,1.0,bondorder_ext,15,cawkwell,102,0.995499241032084,2.703243199837632,1.9695536257140802,8.951858245331096,3.236903444794825,12.964751243591309,GPU
UMA,1.0,bondorder_ar,12,cawkwell,102,0.9948876289598566,2.930887860821525,2.050600297162989,9.767638912722468,3.378747472089004,12.964751243591309,GPU
UMA,1.0,extended,14,cawkwell,102,0.9939386713580093,3.1552702165066093,2.2942483183015416,10.386500715939334,3.7627638902465694,12.964751243591309,GPU
UMA,1.0,neighbour,22,cawkwell,102,0.9945020190343229,2.863572462771845,2.0509421867500723,9.88487723399885,18663.870495395928,12.964751243591309,GPU
UMA,3.0,4param,4,all,310,0.9928814753472625,3.10992863730109,2.2288777455974733,12.045272402249978,3.245062965383122,12.681596994400024,GPU
UMA,3.0,7param,7,all,310,0.9943191545002724,2.7644928283478882,1.8811806642529225,11.108773129107433,2.946821253278825,12.681596994400024,GPU
UMA,3.0,hybrid,9,all,310,0.994211017348386,2.7814243893945396,1.8539064812490265,11.640158775968011,2.9688392894238382,12.681596994400024,GPU
UMA,3.0,bondorder,9,all,310,0.9946162630874377,2.682304319645319,1.8024694721322652,11.198967684339735,2.8525251217954164,12.681596994400024,GPU
UMA,3.0,bondorder_ext,15,all,310,0.9953225630194212,2.4750452583459945,1.728198612425548,9.501727593275719,2.6805760664405587,12.681596994400024,GPU
UMA,3.0,bondorder_ar,12,all,310,0.9945706014283722,2.680153042899557,1.7918062454669854,11.05007518049679,2.8917097288746096,12.681596994400024,GPU
UMA,3.0,extended,14,all,310,0.9947485659058622,2.6269721875756273,1.798203466540013,11.563686494096189,2.879155554758333,12.681596994400024,GPU
UMA,3.0,neighbour,22,all,310,0.9951343951670066,2.494105801542423,1.7127291678060697,10.648400367994327,10600.45976609349,12.681596994400024,GPU
UMA,3.0,4param,4,cawkwell,102,0.9917323285070524,3.8910829480838394,3.0518198215802883,11.54688689231989,4.083244089982481,12.681596994400024,GPU
UMA,3.0,7param,7,cawkwell,102,0.9944234290722718,3.1458684490541833,2.266245783824902,10.437687720876418,3.467813599817548,12.681596994400024,GPU
UMA,3.0,hybrid,9,cawkwell,102,0.9941394111926098,3.190491229724211,2.3635503412259924,10.03028948832769,3.514815821505648,12.681596994400024,GPU
UMA,3.0,bondorder,9,cawkwell,102,0.9950766279011551,2.924275323916347,2.051333765011949,9.777664595465176,3.269161881593567,12.681596994400024,GPU
UMA,3.0,bondorder_ext,15,cawkwell,102,0.9955202203543877,2.696935546707619,1.9522178565217645,8.952598949632375,3.2218322201742504,12.681596994400024,GPU
UMA,3.0,bondorder_ar,12,cawkwell,102,0.9949761708257959,2.9053967803695726,2.0243972934793137,9.762773750647902,3.3328085643298966,12.681596994400024,GPU
UMA,3.0,extended,14,cawkwell,102,0.9938917954615398,3.1674475185007958,2.3287886363935013,10.441784631307243,3.780803702885904,12.681596994400024,GPU
UMA,3.0,neighbour,22,cawkwell,102,0.9944892567475366,2.866894095722296,2.0513894451664347,9.899374099739362,18663.98807399775,12.681596994400024,GPU
UMA,5.0,4param,4,all,310,0.9931014885551315,3.0614919467601927,2.208872251705994,11.85706354866852,3.1928392774524754,13.21928596496582,GPU
UMA,5.0,7param,7,all,310,0.9945209612041711,2.7149458152986963,1.8611924857615827,10.701669490290804,2.893537669105533,13.21928596496582,GPU
UMA,5.0,hybrid,9,all,310,0.9944396134439076,2.725954652016993,1.8311922286338205,11.560852407601196,2.9091062979458973,13.21928596496582,GPU
UMA,5.0,bondorder,9,all,310,0.9948315901916133,2.628116455324826,1.7800109168503075,10.451910028066486,2.793825065145863,13.21928596496582,GPU
UMA,5.0,bondorder_ext,15,all,310,0.9955065779241047,2.4258714294382986,1.7002422352960525,9.535020813461161,2.6169457962314864,13.21928596496582,GPU
UMA,5.0,bondorder_ar,12,all,310,0.9947846137798192,2.6267997687121816,1.7746830936392515,10.528523972148541,2.8321186424624383,13.21928596496582,GPU
UMA,5.0,extended,14,all,310,0.9949368547956856,2.5794475794067053,1.773273223646362,11.369502124106518,2.815066451971518,13.21928596496582,GPU
UMA,5.0,neighbour,22,all,310,0.9953234247028311,2.445177670458284,1.6848594154625955,10.606832095159916,10600.459080859135,13.21928596496582,GPU
UMA,5.0,4param,4,cawkwell,102,0.9917714166269662,3.881873867082799,3.0363296932663997,11.511270761111518,4.082752739811697,13.21928596496582,GPU
UMA,5.0,7param,7,cawkwell,102,0.9944558698101766,3.1367048295780178,2.25381730623964,10.54491690637078,3.4547773515955638,13.21928596496582,GPU
UMA,5.0,hybrid,9,cawkwell,102,0.9942120605146585,3.170654499833283,2.350170637139838,9.98173942114925,3.506059181007491,13.21928596496582,GPU
UMA,5.0,bondorder,9,cawkwell,102,0.9951282041542993,2.9089179385508115,2.035003992474898,9.732972985082306,3.255939025196783,13.21928596496582,GPU
UMA,5.0,bondorder_ext,15,cawkwell,102,0.9956123023108807,2.6690738479396954,1.9362387031557744,8.885561581118964,3.1886286512047284,13.21928596496582,GPU
UMA,5.0,bondorder_ar,12,cawkwell,102,0.9950241037423255,2.891503202938602,2.014320690283147,9.715018243070226,3.3313963185086544,13.21928596496582,GPU
UMA,5.0,extended,14,cawkwell,102,0.9939810963447688,3.1442085035039713,2.314124989625425,10.297913676789037,3.759398677413682,13.21928596496582,GPU
UMA,5.0,neighbour,22,cawkwell,102,0.9945869300208421,2.8413738698969717,2.0361624790136843,9.829286365391454,18663.98935461908,13.21928596496582,GPU
